Stat Type,Knowlton Hall - Steam Consumption (kBTU),Knowlton Hall - Electricity Consumption (kBTU),Knowlton Hall - Chilled Water Consumption (kBTU),Knowlton Hall - Hot Water Consumption (kBTU),Knowlton Hall - Total Energy Consumption (Cleaned) (kBTU),Knowlton Hall - Natural Gas Consumption (kBTU),North Recreation Center - Steam Consumption (kBTU),North Recreation Center - Electricity Consumption (kBTU),North Recreation Center - Chilled Water Consumption (kBTU),North Recreation Center - Hot Water Consumption (kBTU),North Recreation Center - Total Energy Consumption (Cleaned) (kBTU),North Recreation Center - Natural Gas Consumption (kBTU),Denney Hall - Steam Consumption (kBTU),Denney Hall - Electricity Consumption (kBTU),Denney Hall - Chilled Water Consumption (kBTU),Denney Hall - Hot Water Consumption (kBTU),Denney Hall - Total Energy Consumption (Cleaned) (kBTU),Denney Hall - Natural Gas Consumption (kBTU),Thompson Library - Steam Consumption (kBTU),Thompson Library - Electricity Consumption (kBTU),Thompson Library - Chilled Water Consumption (kBTU),Thompson Library - Hot Water Consumption (kBTU),Thompson Library - Total Energy Consumption (Cleaned) (kBTU),Thompson Library - Natural Gas Consumption (kBTU),Enarson Building - Steam Consumption (kBTU),Enarson Building - Electricity Consumption (kBTU),Enarson Building - Chilled Water Consumption (kBTU),Enarson Building - Hot Water Consumption (kBTU),Enarson Building - Total Energy Consumption (Cleaned) (kBTU),Enarson Building - Natural Gas Consumption (kBTU),Knowlton Hall - Occupancy (DEV),North Recreation Center - Occupancy (DEV),Denney Hall - Occupancy (DEV),Thompson Memorial Library - Occupancy (DEV),Enarson Classroom Building - Occupancy (DEV)
1-Jan,1.909671796,784.358119,19.37379892,,805.6415897,0,,146.2208521,61.03489491,0,207.255747,,,355.3089179,,2609.819892,2965.12881,,4806.865544,1257.706521,720.5340975,,6785.106353,0.000189906,957.8130012,691.5814074,7.891951194,,1657.28636,,202.8826152,40.47548291,157.9065282,398.0967262,131.6246291
2-Feb,1.405078191,870.025318,298.6661362,,1170.167311,0.07077872,,148.4864954,143.6702864,124.8130623,416.9698441,,,352.796694,,2268.199704,2620.996398,,4151.925992,1316.988215,1143.133413,,6612.047771,0.000151546,791.3036534,761.8961489,60.6737098,,1613.873512,,247.7087295,57.58477509,186.6937716,542.3638721,158.4143599
3-Mar,1.14551072,840.4720287,506.8319544,,1348.459859,0.010364996,,142.6172572,220.9244386,122.314395,485.8560907,,,342.9177213,,2086.071351,2428.989072,,3734.558028,1291.615236,1261.966644,,6288.140053,0.000144213,709.337833,767.6204069,99.93787563,,1576.896116,,212.8887015,49.69814503,170.9494098,471.9139966,141.2765599
4-Apr,0.714839031,827.5313082,725.749635,,1554.081391,0.085608999,,146.2276711,423.4937575,95.83740806,665.5588367,,,341.5504034,,737.7441598,1079.294563,,3375.942972,1268.3985,1647.185505,,6291.527125,0.000148634,624.9295485,779.8420172,219.6308254,,1624.402391,,240.3257919,50.87330317,164.3831071,649.8461538,138.0271493
5-May,0.73191955,742.2258183,2057.515054,,2800.472792,0,,128.2160654,785.7769395,63.31556287,977.3085677,,,619.7282108,,102.7371393,722.4653502,,2920.943525,1277.27705,3302.469905,,7500.690801,0.000321108,463.2194047,770.4252204,557.259888,,1790.904513,,46.38292011,10.63911846,63.36225895,137.2520661,59.79614325
6-Jun,0.271506047,747.0219054,2364.412778,,3111.70619,0,,129.872093,942.3686472,10.85844191,1083.099182,,,710.8100992,,13.22679652,724.0368957,,2575.032542,1354.279608,4124.678617,,8053.990916,0.000149023,331.0736428,875.3792548,654.9627984,,1861.415696,,37.80925666,9.274894811,67.40112202,125.5778401,53.00420757
7-Jul,0.016027365,733.9942636,2340.048387,,3074.058822,0.00014384,,127.7163896,992.2339147,18.04041221,1137.990716,,,815.2006944,,142.9972289,958.1979232,,2698.965395,1353.866246,4662.765722,,8715.597508,0.000144213,601.4219259,885.0090051,1559.919312,,3046.350243,,24.03783784,7.898648649,77.50945946,112.0540541,63.40810811
8-Aug,0.010012792,760.9519884,2196.078197,,2957.040198,0,,131.8929819,1054.641106,78.17761157,1264.711699,,,824.6600095,,159.7158822,984.3758917,,2559.832377,1296.965268,4308.896272,,8165.694205,0.000288432,597.0476425,923.1839116,1714.24173,,3234.473284,,111.625,33.10190217,162.951087,285.294837,142.6263587
9-Sep,0.286715013,840.227679,1944.252656,,2784.767198,0.000148634,,148.6924577,923.8642379,75.99850631,1148.555202,,,756.4021466,,199.8022633,956.2044098,,2871.614259,1307.174447,3582.787288,,7761.575994,0,601.3996936,934.7551257,1297.515472,,2833.670292,,317.825,64.80138889,336.2361111,818.8416667,274.6166667
